"","x"
"1","NumCI"
"2","NumDR"
"3","NumECI"
"4","NumEA"
"5","NumHV"
"6","NumPS"
"7","NumSCI"
"8","NumSR"
"9","NumUNK"
"10","CI.1900"
"11","CI.1930"
"12","CI.1935"
"13","CI.1940"
"14","CI.1945"
"15","DR.1945"
"16","PS.1945"
"17","CI.1950"
"18","DR.1950"
"19","PS.1950"
"20","CI.1955"
"21","DR.1955"
"22","PS.1955"
"23","CI.1960"
"24","DR.1960"
"25","PS.1960"
"26","CI.1965"
"27","DR.1965"
"28","HV.1965"
"29","PS.1965"
"30","CI.1970"
"31","DR.1970"
"32","HV.1970"
"33","PS.1970"
"34","CI.1975"
"35","DR.1975"
"36","PS.1975"
"37","CI.1980"
"38","DR.1980"
"39","CI.1985"
"40","CI.AsiaPacific"
"41","DR.AsiaPacific"
"42","PS.AsiaPacific"
"43","CI.Australia"
"44","DR.Australia"
"45","ECI.Australia"
"46","HV.Australia"
"47","PS.Australia"
"48","CI.EasternEurope"
"49","CI.GreatBritain"
"50","DR.GreatBritain"
"51","PS.GreatBritain"
"52","CI.MiddleEastandAfrica"
"53","CI.NewZealand"
"54","PS.NewZealand"
"55","CI.NorthAmerica"
"56","CI.SouthAfrica"
"57","PS.SouthAfrica"
"58","CI.TheAmericas"
"59","PS.TheAmericas"
"60","CI.WesternEurope"
"61","CI.English"
"62","DR.English"
"63","PS.English"
"64","CI.OtherLang"
"65","CI.PhD"
"66","DR.PhD"
"67","ECI.PhD"
"68","PS.PhD"
"69","Success.CI"
"70","Unsuccess.CI"
"71","Success.DR"
"72","Unsuccess.DR"
"73","Success.PS"
"74","Unsuccess.PS"
"75","Unsuccess.HV"
"76","CI.Dept1033"
"77","PS.Dept1033"
"78","CI.Dept1038"
"79","PS.Dept1038"
"80","CI.Dept1098"
"81","DR.Dept1098"
"82","CI.Dept118"
"83","CI.Dept1258"
"84","CI.Dept1428"
"85","CI.Dept1528"
"86","CI.Dept1578"
"87","CI.Dept1623"
"88","CI.Dept1663"
"89","CI.Dept1678"
"90","CI.Dept1798"
"91","CI.Dept188"
"92","CI.Dept1998"
"93","CI.Dept2053"
"94","CI.Dept2103"
"95","DR.Dept2103"
"96","CI.Dept2153"
"97","DR.Dept2153"
"98","CI.Dept2163"
"99","DR.Dept2163"
"100","CI.Dept2178"
"101","CI.Dept2253"
"102","CI.Dept2498"
"103","PS.Dept2498"
"104","CI.Dept2518"
"105","CI.Dept2523"
"106","DR.Dept2523"
"107","PS.Dept2523"
"108","CI.Dept2533"
"109","PS.Dept2533"
"110","CI.Dept2538"
"111","DR.Dept2538"
"112","CI.Dept2543"
"113","CI.Dept2548"
"114","DR.Dept2548"
"115","CI.Dept2553"
"116","PS.Dept2553"
"117","CI.Dept2558"
"118","PS.Dept2558"
"119","CI.Dept2563"
"120","PS.Dept2563"
"121","CI.Dept2568"
"122","CI.Dept2578"
"123","CI.Dept2603"
"124","PS.Dept2603"
"125","CI.Dept2628"
"126","PS.Dept2628"
"127","CI.Dept2653"
"128","PS.Dept2653"
"129","CI.Dept2668"
"130","PS.Dept2668"
"131","CI.Dept2678"
"132","DR.Dept2678"
"133","PS.Dept2678"
"134","CI.Dept2713"
"135","DR.Dept2713"
"136","PS.Dept2713"
"137","CI.Dept2728"
"138","PS.Dept2728"
"139","CI.Dept2738"
"140","CI.Dept2763"
"141","PS.Dept2763"
"142","CI.Dept2768"
"143","CI.Dept2773"
"144","CI.Dept2778"
"145","CI.Dept28"
"146","CI.Dept2813"
"147","PS.Dept2813"
"148","CI.Dept2828"
"149","HV.Dept2828"
"150","CI.Dept2838"
"151","CI.Dept2848"
"152","CI.Dept2853"
"153","CI.Dept2878"
"154","PS.Dept2878"
"155","CI.Dept2883"
"156","PS.Dept2883"
"157","CI.Dept2893"
"158","PS.Dept2893"
"159","CI.Dept2923"
"160","CI.Dept2948"
"161","CI.Dept2973"
"162","CI.Dept2983"
"163","CI.Dept3028"
"164","PS.Dept3028"
"165","CI.Dept3048"
"166","CI.Dept3073"
"167","CI.Dept3098"
"168","CI.Dept3123"
"169","DR.Dept3123"
"170","CI.Dept3198"
"171","CI.Dept3248"
"172","CI.Dept3258"
"173","PS.Dept3258"
"174","CI.Dept3268"
"175","DR.Dept3268"
"176","PS.Dept3268"
"177","CI.Dept3273"
"178","CI.Dept3703"
"179","CI.Dept3708"
"180","CI.Dept3943"
"181","CI.Dept4163"
"182","CI.Dept4188"
"183","CI.Dept4193"
"184","CI.Dept4323"
"185","CI.Dept498"
"186","CI.Dept528"
"187","CI.Dept548"
"188","CI.Dept593"
"189","CI.Dept603"
"190","CI.Dept653"
"191","CI.Dept68"
"192","CI.Dept803"
"193","CI.Dept828"
"194","CI.Dept978"
"195","CI.Dept998"
"196","CI.Faculty1"
"197","DR.Faculty1"
"198","PS.Faculty1"
"199","CI.Faculty10"
"200","CI.Faculty118"
"201","CI.Faculty13"
"202","CI.Faculty187"
"203","DR.Faculty187"
"204","CI.Faculty19"
"205","DR.Faculty19"
"206","CI.Faculty22"
"207","CI.Faculty25"
"208","DR.Faculty25"
"209","HV.Faculty25"
"210","PS.Faculty25"
"211","CI.Faculty31"
"212","DR.Faculty31"
"213","PS.Faculty31"
"214","CI.Faculty34"
"215","PS.Faculty34"
"216","CI.Faculty4"
"217","CI.Faculty40"
"218","CI.Faculty46"
"219","CI.Faculty58"
"220","CI.Faculty64"
"221","CI.Faculty7"
"222","CI.Faculty79"
"223","Duration0to5"
"224","Duration10to15"
"225","Duration5to10"
"226","DurationGT15"
"227","DurationLT0"
"228","DurationUnk"
"229","Astar.CI"
"230","A.CI"
"231","B.CI"
"232","C.CI"
"233","Astar.DR"
"234","A.DR"
"235","B.DR"
"236","C.DR"
"237","Astar.PS"
"238","A.PS"
"239","B.PS"
"240","C.PS"
"241","A.HV"
"242","AstarTotal"
"243","ATotal"
"244","BTotal"
"245","CTotal"
"246","allPub"
"247","numPeople"
"248","RFCD210000"
"249","RFCD230101"
"250","RFCD230105"
"251","RFCD230112"
"252","RFCD230117"
"253","RFCD230118"
"254","RFCD230119"
"255","RFCD230202"
"256","RFCD230203"
"257","RFCD230204"
"258","RFCD239901"
"259","RFCD240101"
"260","RFCD240201"
"261","RFCD240202"
"262","RFCD240203"
"263","RFCD240204"
"264","RFCD240301"
"265","RFCD240302"
"266","RFCD240401"
"267","RFCD240402"
"268","RFCD240499"
"269","RFCD249901"
"270","RFCD249902"
"271","RFCD249903"
"272","RFCD250103"
"273","RFCD250104"
"274","RFCD250105"
"275","RFCD250199"
"276","RFCD250201"
"277","RFCD250204"
"278","RFCD250301"
"279","RFCD250302"
"280","RFCD250303"
"281","RFCD250402"
"282","RFCD250501"
"283","RFCD250502"
"284","RFCD250503"
"285","RFCD259902"
"286","RFCD259999"
"287","RFCD260102"
"288","RFCD260107"
"289","RFCD260108"
"290","RFCD260109"
"291","RFCD260114"
"292","RFCD260301"
"293","RFCD260399"
"294","RFCD260501"
"295","RFCD260502"
"296","RFCD260599"
"297","RFCD260601"
"298","RFCD260602"
"299","RFCD269901"
"300","RFCD270101"
"301","RFCD270102"
"302","RFCD270103"
"303","RFCD270104"
"304","RFCD270105"
"305","RFCD270106"
"306","RFCD270107"
"307","RFCD270108"
"308","RFCD270199"
"309","RFCD270201"
"310","RFCD270202"
"311","RFCD270203"
"312","RFCD270205"
"313","RFCD270207"
"314","RFCD270208"
"315","RFCD270209"
"316","RFCD270210"
"317","RFCD270299"
"318","RFCD270301"
"319","RFCD270303"
"320","RFCD270304"
"321","RFCD270305"
"322","RFCD270306"
"323","RFCD270307"
"324","RFCD270401"
"325","RFCD270402"
"326","RFCD270403"
"327","RFCD270404"
"328","RFCD270499"
"329","RFCD270501"
"330","RFCD270502"
"331","RFCD270503"
"332","RFCD270504"
"333","RFCD270599"
"334","RFCD270601"
"335","RFCD270602"
"336","RFCD270603"
"337","RFCD270699"
"338","RFCD270701"
"339","RFCD270702"
"340","RFCD270703"
"341","RFCD270704"
"342","RFCD270705"
"343","RFCD270706"
"344","RFCD270707"
"345","RFCD270708"
"346","RFCD270799"
"347","RFCD270802"
"348","RFCD270803"
"349","RFCD270804"
"350","RFCD270899"
"351","RFCD279901"
"352","RFCD279999"
"353","RFCD280101"
"354","RFCD280102"
"355","RFCD280103"
"356","RFCD280104"
"357","RFCD280105"
"358","RFCD280106"
"359","RFCD280107"
"360","RFCD280108"
"361","RFCD280109"
"362","RFCD280112"
"363","RFCD280199"
"364","RFCD280201"
"365","RFCD280203"
"366","RFCD280204"
"367","RFCD280205"
"368","RFCD280207"
"369","RFCD280208"
"370","RFCD280210"
"371","RFCD280211"
"372","RFCD280212"
"373","RFCD280213"
"374","RFCD280302"
"375","RFCD280304"
"376","RFCD280401"
"377","RFCD280506"
"378","RFCD289999"
"379","RFCD290501"
"380","RFCD290603"
"381","RFCD290699"
"382","RFCD290704"
"383","RFCD290801"
"384","RFCD290899"
"385","RFCD290901"
"386","RFCD291003"
"387","RFCD291004"
"388","RFCD291005"
"389","RFCD291099"
"390","RFCD291101"
"391","RFCD291104"
"392","RFCD291402"
"393","RFCD291403"
"394","RFCD291404"
"395","RFCD291405"
"396","RFCD291499"
"397","RFCD291503"
"398","RFCD291504"
"399","RFCD291599"
"400","RFCD291702"
"401","RFCD291704"
"402","RFCD291706"
"403","RFCD291799"
"404","RFCD291801"
"405","RFCD291803"
"406","RFCD291804"
"407","RFCD291899"
"408","RFCD300102"
"409","RFCD300103"
"410","RFCD300105"
"411","RFCD300199"
"412","RFCD300201"
"413","RFCD300203"
"414","RFCD300204"
"415","RFCD300205"
"416","RFCD300299"
"417","RFCD300303"
"418","RFCD300305"
"419","RFCD300399"
"420","RFCD300403"
"421","RFCD300404"
"422","RFCD300405"
"423","RFCD300499"
"424","RFCD300501"
"425","RFCD300503"
"426","RFCD300504"
"427","RFCD300505"
"428","RFCD300507"
"429","RFCD300508"
"430","RFCD300510"
"431","RFCD300599"
"432","RFCD300601"
"433","RFCD300602"
"434","RFCD300603"
"435","RFCD300604"
"436","RFCD300605"
"437","RFCD300606"
"438","RFCD300699"
"439","RFCD300704"
"440","RFCD300801"
"441","RFCD300802"
"442","RFCD300803"
"443","RFCD300804"
"444","RFCD300805"
"445","RFCD300899"
"446","RFCD300901"
"447","RFCD300903"
"448","RFCD309901"
"449","RFCD310101"
"450","RFCD310102"
"451","RFCD310103"
"452","RFCD310104"
"453","RFCD310105"
"454","RFCD310199"
"455","RFCD310201"
"456","RFCD310202"
"457","RFCD319999"
"458","RFCD320201"
"459","RFCD320202"
"460","RFCD320205"
"461","RFCD320206"
"462","RFCD320207"
"463","RFCD320299"
"464","RFCD320303"
"465","RFCD320305"
"466","RFCD320401"
"467","RFCD320402"
"468","RFCD320403"
"469","RFCD320405"
"470","RFCD320502"
"471","RFCD320503"
"472","RFCD320599"
"473","RFCD320602"
"474","RFCD320603"
"475","RFCD320699"
"476","RFCD320701"
"477","RFCD320702"
"478","RFCD320703"
"479","RFCD320704"
"480","RFCD320705"
"481","RFCD320799"
"482","RFCD320801"
"483","RFCD320803"
"484","RFCD320899"
"485","RFCD321000"
"486","RFCD321001"
"487","RFCD321003"
"488","RFCD321004"
"489","RFCD321005"
"490","RFCD321006"
"491","RFCD321007"
"492","RFCD321008"
"493","RFCD321010"
"494","RFCD321011"
"495","RFCD321012"
"496","RFCD321013"
"497","RFCD321014"
"498","RFCD321015"
"499","RFCD321016"
"500","RFCD321017"
"501","RFCD321018"
"502","RFCD321019"
"503","RFCD321020"
"504","RFCD321021"
"505","RFCD321022"
"506","RFCD321023"
"507","RFCD321024"
"508","RFCD321026"
"509","RFCD321027"
"510","RFCD321028"
"511","RFCD321029"
"512","RFCD321099"
"513","RFCD321102"
"514","RFCD321103"
"515","RFCD321105"
"516","RFCD321199"
"517","RFCD321201"
"518","RFCD321202"
"519","RFCD321203"
"520","RFCD321204"
"521","RFCD321205"
"522","RFCD321206"
"523","RFCD321207"
"524","RFCD321208"
"525","RFCD321209"
"526","RFCD321210"
"527","RFCD321212"
"528","RFCD321213"
"529","RFCD321214"
"530","RFCD321216"
"531","RFCD321217"
"532","RFCD321299"
"533","RFCD321399"
"534","RFCD321401"
"535","RFCD321402"
"536","RFCD321403"
"537","RFCD321405"
"538","RFCD329902"
"539","RFCD329903"
"540","RFCD329999"
"541","RFCD330101"
"542","RFCD330103"
"543","RFCD330104"
"544","RFCD330106"
"545","RFCD330107"
"546","RFCD330108"
"547","RFCD330109"
"548","RFCD330199"
"549","RFCD330201"
"550","RFCD330202"
"551","RFCD330203"
"552","RFCD330206"
"553","RFCD330301"
"554","RFCD330302"
"555","RFCD330303"
"556","RFCD330399"
"557","RFCD339999"
"558","RFCD340101"
"559","RFCD340202"
"560","RFCD340204"
"561","RFCD340205"
"562","RFCD340207"
"563","RFCD340299"
"564","RFCD340401"
"565","RFCD340402"
"566","RFCD340405"
"567","RFCD350101"
"568","RFCD350201"
"569","RFCD350211"
"570","RFCD350212"
"571","RFCD350299"
"572","RFCD350301"
"573","RFCD350303"
"574","RFCD360101"
"575","RFCD360102"
"576","RFCD360104"
"577","RFCD360105"
"578","RFCD360201"
"579","RFCD360202"
"580","RFCD360203"
"581","RFCD360299"
"582","RFCD370101"
"583","RFCD370102"
"584","RFCD370105"
"585","RFCD370106"
"586","RFCD370107"
"587","RFCD370199"
"588","RFCD370201"
"589","RFCD370204"
"590","RFCD370301"
"591","RFCD370302"
"592","RFCD370401"
"593","RFCD370402"
"594","RFCD370501"
"595","RFCD370504"
"596","RFCD370601"
"597","RFCD370602"
"598","RFCD370603"
"599","RFCD379902"
"600","RFCD379999"
"601","RFCD380101"
"602","RFCD380102"
"603","RFCD380103"
"604","RFCD380104"
"605","RFCD380105"
"606","RFCD380106"
"607","RFCD380107"
"608","RFCD380108"
"609","RFCD380199"
"610","RFCD380201"
"611","RFCD380203"
"612","RFCD380205"
"613","RFCD380206"
"614","RFCD380207"
"615","RFCD380304"
"616","RFCD380399"
"617","RFCD389999"
"618","RFCD390102"
"619","RFCD390103"
"620","RFCD390111"
"621","RFCD390114"
"622","RFCD390199"
"623","RFCD390201"
"624","RFCD390301"
"625","RFCD390303"
"626","RFCD390305"
"627","RFCD390401"
"628","RFCD400104"
"629","RFCD400301"
"630","RFCD400303"
"631","RFCD410101"
"632","RFCD410102"
"633","RFCD410202"
"634","RFCD410301"
"635","RFCD410302"
"636","RFCD410303"
"637","RFCD410402"
"638","RFCD419901"
"639","RFCD419999"
"640","RFCD420199"
"641","RFCD420201"
"642","RFCD420202"
"643","RFCD420206"
"644","RFCD420218"
"645","RFCD420301"
"646","RFCD420302"
"647","RFCD420303"
"648","RFCD420304"
"649","RFCD420305"
"650","RFCD420306"
"651","RFCD420307"
"652","RFCD420308"
"653","RFCD420399"
"654","RFCD430101"
"655","RFCD430102"
"656","RFCD430104"
"657","RFCD430107"
"658","RFCD430108"
"659","RFCD430199"
"660","RFCD430203"
"661","RFCD440103"
"662","RFCD440104"
"663","RFCD440110"
"664","RFCD440199"
"665","RFCD440205"
"666","RFCD440207"
"667","SEO610101"
"668","SEO610104"
"669","SEO610199"
"670","SEO620101"
"671","SEO620105"
"672","SEO620108"
"673","SEO620199"
"674","SEO620204"
"675","SEO620208"
"676","SEO620209"
"677","SEO620299"
"678","SEO620301"
"679","SEO620302"
"680","SEO620303"
"681","SEO620399"
"682","SEO620501"
"683","SEO620502"
"684","SEO620503"
"685","SEO620504"
"686","SEO630101"
"687","SEO630102"
"688","SEO630103"
"689","SEO630104"
"690","SEO630106"
"691","SEO630107"
"692","SEO630199"
"693","SEO630301"
"694","SEO630302"
"695","SEO630501"
"696","SEO630502"
"697","SEO640103"
"698","SEO650103"
"699","SEO660205"
"700","SEO660299"
"701","SEO660402"
"702","SEO660403"
"703","SEO660501"
"704","SEO660504"
"705","SEO669999"
"706","SEO670105"
"707","SEO670306"
"708","SEO670401"
"709","SEO670402"
"710","SEO670403"
"711","SEO670499"
"712","SEO670501"
"713","SEO670502"
"714","SEO670503"
"715","SEO670602"
"716","SEO670704"
"717","SEO670706"
"718","SEO670799"
"719","SEO670899"
"720","SEO670901"
"721","SEO670904"
"722","SEO671201"
"723","SEO671206"
"724","SEO671299"
"725","SEO671305"
"726","SEO671306"
"727","SEO671399"
"728","SEO671401"
"729","SEO671402"
"730","SEO671403"
"731","SEO671699"
"732","SEO671704"
"733","SEO671709"
"734","SEO680199"
"735","SEO680201"
"736","SEO680202"
"737","SEO680203"
"738","SEO680299"
"739","SEO680302"
"740","SEO680303"
"741","SEO680399"
"742","SEO680403"
"743","SEO680503"
"744","SEO680599"
"745","SEO690101"
"746","SEO700101"
"747","SEO700102"
"748","SEO700103"
"749","SEO700199"
"750","SEO700201"
"751","SEO700299"
"752","SEO700302"
"753","SEO710401"
"754","SEO710403"
"755","SEO720199"
"756","SEO720204"
"757","SEO720299"
"758","SEO720302"
"759","SEO720303"
"760","SEO720402"
"761","SEO720403"
"762","SEO720404"
"763","SEO720499"
"764","SEO729901"
"765","SEO729999"
"766","SEO730000"
"767","SEO730101"
"768","SEO730102"
"769","SEO730103"
"770","SEO730104"
"771","SEO730105"
"772","SEO730106"
"773","SEO730107"
"774","SEO730108"
"775","SEO730109"
"776","SEO730110"
"777","SEO730111"
"778","SEO730112"
"779","SEO730113"
"780","SEO730114"
"781","SEO730115"
"782","SEO730116"
"783","SEO730117"
"784","SEO730118"
"785","SEO730199"
"786","SEO730200"
"787","SEO730201"
"788","SEO730202"
"789","SEO730203"
"790","SEO730204"
"791","SEO730205"
"792","SEO730206"
"793","SEO730207"
"794","SEO730208"
"795","SEO730209"
"796","SEO730210"
"797","SEO730211"
"798","SEO730212"
"799","SEO730213"
"800","SEO730214"
"801","SEO730215"
"802","SEO730217"
"803","SEO730218"
"804","SEO730219"
"805","SEO730220"
"806","SEO730299"
"807","SEO730301"
"808","SEO730302"
"809","SEO730303"
"810","SEO730304"
"811","SEO730305"
"812","SEO730306"
"813","SEO730307"
"814","SEO730308"
"815","SEO730399"
"816","SEO740101"
"817","SEO740102"
"818","SEO740201"
"819","SEO740301"
"820","SEO740401"
"821","SEO740501"
"822","SEO749903"
"823","SEO749904"
"824","SEO749906"
"825","SEO749999"
"826","SEO750101"
"827","SEO750102"
"828","SEO750103"
"829","SEO750201"
"830","SEO750202"
"831","SEO750204"
"832","SEO750299"
"833","SEO750304"
"834","SEO750305"
"835","SEO750306"
"836","SEO750307"
"837","SEO750308"
"838","SEO750309"
"839","SEO750312"
"840","SEO750399"
"841","SEO750401"
"842","SEO750403"
"843","SEO750404"
"844","SEO750499"
"845","SEO750502"
"846","SEO750503"
"847","SEO750504"
"848","SEO750599"
"849","SEO750601"
"850","SEO750604"
"851","SEO750605"
"852","SEO750699"
"853","SEO750701"
"854","SEO750702"
"855","SEO750703"
"856","SEO750704"
"857","SEO750801"
"858","SEO750802"
"859","SEO750803"
"860","SEO750805"
"861","SEO750899"
"862","SEO750901"
"863","SEO750902"
"864","SEO751001"
"865","SEO751002"
"866","SEO751003"
"867","SEO751004"
"868","SEO751005"
"869","SEO751006"
"870","SEO751099"
"871","SEO759999"
"872","SEO760101"
"873","SEO760102"
"874","SEO760103"
"875","SEO760104"
"876","SEO760199"
"877","SEO760299"
"878","SEO769999"
"879","SEO770101"
"880","SEO770102"
"881","SEO770103"
"882","SEO770302"
"883","SEO770306"
"884","SEO770307"
"885","SEO770402"
"886","SEO770403"
"887","SEO770502"
"888","SEO770503"
"889","SEO770504"
"890","SEO770505"
"891","SEO770506"
"892","SEO770603"
"893","SEO770702"
"894","SEO770703"
"895","SEO770704"
"896","SEO770705"
"897","SEO770706"
"898","SEO770707"
"899","SEO770802"
"900","SEO770803"
"901","SEO770804"
"902","SEO770805"
"903","SEO770902"
"904","SEO770903"
"905","SEO771003"
"906","SEO771102"
"907","SEO779902"
"908","SEO779903"
"909","SEO779907"
"910","SEO780101"
"911","SEO780102"
"912","SEO780103"
"913","SEO780104"
"914","SEO780105"
"915","SEO780107"
"916","SEO780108"
"917","SEO780199"
"918","Sponsor100D"
"919","Sponsor101A"
"920","Sponsor103C"
"921","Sponsor105A"
"922","Sponsor111C"
"923","Sponsor112D"
"924","Sponsor113A"
"925","Sponsor120D"
"926","Sponsor126B"
"927","Sponsor12D"
"928","Sponsor132D"
"929","Sponsor133A"
"930","Sponsor135C"
"931","Sponsor136D"
"932","Sponsor137A"
"933","Sponsor138B"
"934","Sponsor13A"
"935","Sponsor141A"
"936","Sponsor143C"
"937","Sponsor144D"
"938","Sponsor148D"
"939","Sponsor149A"
"940","Sponsor150B"
"941","Sponsor15C"
"942","Sponsor161A"
"943","Sponsor163C"
"944","Sponsor164D"
"945","Sponsor166B"
"946","Sponsor168D"
"947","Sponsor172D"
"948","Sponsor173A"
"949","Sponsor174B"
"950","Sponsor179C"
"951","Sponsor180D"
"952","Sponsor183C"
"953","Sponsor188D"
"954","Sponsor18B"
"955","Sponsor194B"
"956","Sponsor196D"
"957","Sponsor1A"
"958","Sponsor202B"
"959","Sponsor203C"
"960","Sponsor205A"
"961","Sponsor208D"
"962","Sponsor20D"
"963","Sponsor210B"
"964","Sponsor215C"
"965","Sponsor222B"
"966","Sponsor223C"
"967","Sponsor228D"
"968","Sponsor232D"
"969","Sponsor234B"
"970","Sponsor241A"
"971","Sponsor247C"
"972","Sponsor24D"
"973","Sponsor252D"
"974","Sponsor260D"
"975","Sponsor266B"
"976","Sponsor269A"
"977","Sponsor26B"
"978","Sponsor27C"
"979","Sponsor281A"
"980","Sponsor28D"
"981","Sponsor29A"
"982","Sponsor2B"
"983","Sponsor315C"
"984","Sponsor32D"
"985","Sponsor33A"
"986","Sponsor34B"
"987","Sponsor36D"
"988","Sponsor39C"
"989","Sponsor3C"
"990","Sponsor40D"
"991","Sponsor42B"
"992","Sponsor47C"
"993","Sponsor49A"
"994","Sponsor4D"
"995","Sponsor51C"
"996","Sponsor52D"
"997","Sponsor53A"
"998","Sponsor54B"
"999","Sponsor55C"
"1000","Sponsor56D"
"1001","Sponsor59C"
"1002","Sponsor5A"
"1003","Sponsor60D"
"1004","Sponsor62B"
"1005","Sponsor63C"
"1006","Sponsor65A"
"1007","Sponsor66B"
"1008","Sponsor67C"
"1009","Sponsor68D"
"1010","Sponsor69A"
"1011","Sponsor6B"
"1012","Sponsor73A"
"1013","Sponsor75C"
"1014","Sponsor77A"
"1015","Sponsor78B"
"1016","Sponsor7C"
"1017","Sponsor83C"
"1018","Sponsor84D"
"1019","Sponsor86B"
"1020","Sponsor87C"
"1021","Sponsor89A"
"1022","Sponsor90B"
"1023","Sponsor91C"
"1024","Sponsor93A"
"1025","Sponsor94B"
"1026","Sponsor95C"
"1027","Sponsor97A"
"1028","Sponsor9A"
"1029","ContractValueBandA"
"1030","ContractValueBandB"
"1031","ContractValueBandC"
"1032","ContractValueBandD"
"1033","ContractValueBandE"
"1034","ContractValueBandF"
"1035","ContractValueBandG"
"1036","ContractValueBandH"
"1037","ContractValueBandI"
"1038","ContractValueBandJ"
"1039","ContractValueBandK"
"1040","ContractValueBandQ"
"1041","ContractValueBandUnk"
"1042","GrantCat10A"
"1043","GrantCat10B"
"1044","GrantCat20A"
"1045","GrantCat20C"
"1046","GrantCat30B"
"1047","GrantCat30C"
"1048","GrantCat30D"
"1049","GrantCat30E"
"1050","GrantCat30G"
"1051","GrantCat40C"
"1052","GrantCat50A"
"1053","GrantCatUnk"
"1054","Apr"
"1055","Aug"
"1056","Dec"
"1057","Feb"
"1058","Jan"
"1059","Jul"
"1060","Jun"
"1061","Mar"
"1062","May"
"1063","Nov"
"1064","Oct"
"1065","Sep"
"1066","Fri"
"1067","Mon"
"1068","Sat"
"1069","Sun"
"1070","Thu"
"1071","Tue"
"1072","Wed"
"1073","Day"
